Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 4,Coverage (%) 5,Coverage (%) 6,Coverage (%) 7,Coverage (%) 8,Coverage (%) 9,Coverage (%) 11,Coverage (%) 12,Coverage (%) 16,Coverage (%) 17,Coverage (%) 18,Coverage (%) 19,Coverage (%) 21,Coverage (%) 22,Coverage (%) 23,Area 4,Area 5,Area 6,Area 7,Area 8,Area 9,Area 11,Area 12,Area 16,Area 17,Area 18,Area 19,Area 21,Area 22,Area 23,#Peptides,#Unique,#Spec 4,#Spec 5,#Spec 6,#Spec 7,#Spec 8,#Spec 9,#Spec 11,#Spec 12,#Spec 16,#Spec 17,#Spec 18,#Spec 19,#Spec 21,#Spec 22,#Spec 23,PTM,Avg. Mass,Description
1,16,P02768|ALBU_HUMAN,852.00,92,92,90,91,90,90,90,90,91,91,91,89,89,90,91,90,1.2814E8,6.0267E7,9.3885E7,6.9043E7,6.647E7,3.4092E7,8.3972E7,3.85E7,8.7113E7,9.3041E7,4.7973E7,5.6091E7,6.8477E7,3.9059E7,7.8965E7,116,109,14543,7549,11175,10000,9076,5474,8646,6041,11886,11490,6368,8715,8356,6313,9489,Carbamidomethylation; Oxidation (M); Deamidation (NQ),69367,Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2
4,48,P01031|CO5_HUMAN,785.52,82,40,72,53,58,78,69,71,66,41,55,46,71,67,67,59,,2.2403E3,,4.3558E3,1.407E4,1.124E4,5.5065E3,2.3541E3,,,,2.3728E3,5.7714E2,1.5303E3,,132,4,364,2922,650,1000,3712,3243,2858,2635,359,737,647,1792,2192,2604,1287,Carbamidomethylation; Oxidation (M); Deamidation (NQ),188304,Complement C5 OS=Homo sapiens OX=9606 GN=C5 PE=1 SV=4
2,11,P01024|CO3_HUMAN,775.80,89,73,86,80,84,88,78,77,80,74,84,80,80,74,83,78,2.2191E6,2.3401E7,6.1141E6,1.5916E7,3.5559E7,2.1941E7,9.4943E6,2.6551E7,4.0397E6,8.8615E6,1.4474E7,1.0145E7,1.0202E7,2.4627E7,1.1206E7,188,188,1400,6099,2722,4269,8187,5914,3684,6432,2402,3255,5153,3721,3604,6542,3621,Carbamidomethylation; Oxidation (M); Deamidation (NQ),187147,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2
14,79,P0C0L5|CO4B_HUMAN,751.77,71,49,63,63,57,61,57,51,51,41,65,63,57,54,58,63,4.4044E4,3.3207E5,8.9783E4,5.0274E5,2.5262E5,3.3735E5,1.7329E5,1.8819E5,7.8431E4,3.6557E5,2.6669E5,2.9524E5,1.3412E5,8.0612E4,7.9299E5,111,11,872,1778,1224,1523,1465,1560,989,1106,696,1749,2048,1135,1021,1248,1916,Carbamidomethylation; Oxidation (M); Deamidation (NQ),192750,Complement C4-B OS=Homo sapiens OX=9606 GN=C4B PE=1 SV=2
13,83,P0C0L4|CO4A_HUMAN,746.15,71,46,62,62,56,61,56,50,50,39,66,61,56,53,59,62,1.8044E5,9.7832E5,1.6366E5,8.9875E5,5.9787E5,2.9626E5,5.0283E5,2.9158E5,4.6868E4,1.3355E5,1.4225E5,5.2313E5,6.9119E5,3.6422E5,6.5826E5,110,10,887,1770,1243,1603,1452,1534,989,1075,663,1739,2006,1162,1065,1288,1882,Carbamidomethylation; Oxidation (M); Deamidation (NQ),192784,Complement C4-A OS=Homo sapiens OX=9606 GN=C4A PE=1 SV=2
12,61,P01023|A2MG_HUMAN,742.40,76,71,63,61,66,70,60,74,61,73,69,55,69,73,59,64,4.1613E6,2.361E6,1.5457E6,4.1261E6,4.2345E6,2.3794E6,6.8747E6,2.7023E6,3.5016E6,3.7733E6,1.1629E6,3.0898E6,4.7719E6,2.65E6,3.3147E6,102,94,1643,1084,856,1487,1826,1179,2502,1204,1679,1483,811,1555,1851,1203,1322,Carbamidomethylation; Oxidation (M); Deamidation (NQ),163290,Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3
21,113,P04114|APOB_HUMAN,694.98,58,36,44,34,44,42,47,35,28,27,43,39,39,33,47,22,1.236E6,2.0199E6,7.5129E5,1.7445E6,1.4448E6,2.7858E6,8.7175E5,5.8109E5,8.3934E5,1.3483E6,1.2384E6,7.2312E5,7.8798E5,2.4958E6,2.577E5,225,225,1023,1340,700,1284,1145,1745,828,609,754,1059,1020,704,837,1516,328,Carbamidomethylation; Oxidation (M); Deamidation (NQ),515611,Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=2
19,144,P02751|FINC_HUMAN,681.00,57,44,50,35,40,48,39,47,38,46,36,48,47,52,38,34,2.61E6,4.1691E6,1.651E6,2.6801E6,2.9045E6,1.8947E6,2.5747E6,1.5789E6,3.2535E6,1.1192E6,5.7813E6,1.7521E6,6.3373E6,1.8155E6,8.2042E5,105,105,1039,1373,734,1083,1223,808,1074,687,1243,674,1837,848,1840,750,487,Carbamidomethylation; Oxidation (M); Deamidation (NQ),272318,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5
47,143,P98160|PGBM_HUMAN,667.78,54,32,37,39,45,21,29,11,22,39,43,35,21,27,4,30,4.3541E5,4.2686E5,6.4288E5,8.9182E5,1.7485E5,6.8729E5,6.068E4,3.1059E5,6.0085E5,1.0479E6,8.9875E5,7.5877E4,2.162E5,2.7364E4,4.5883E5,143,143,499,489,645,831,298,617,134,369,604,913,823,172,372,49,468,Carbamidomethylation; Oxidation (M); Deamidation (NQ),468835,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4
32,133,Q09666|AHNK_HUMAN,664.76,54,46,18,48,29,2,11,32,12,43,42,33,10,7,1,35,1.8554E6,2.3477E5,2.0582E6,4.4378E5,7.041E3,9.5519E4,5.5602E5,1.2123E5,1.4259E6,1.3772E6,7.1053E5,7.6985E4,5.7941E4,2.0508E4,7.4973E5,267,267,1462,331,1553,595,31,170,700,195,1306,1288,828,133,132,36,840,Carbamidomethylation; Oxidation (M); Deamidation (NQ),629114,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2
